dataset,trait_slug,prior_name,single_name,best_baseline_name,no_prior_tabicl,prior_only,single_value,single_vs_own_prior_abs,single_vs_own_prior_pct,single_vs_best_baseline_pct,single_vs_no_prior_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,BayesB,single_bayesb_two_step_ls,BayesB,0.632407,0.65953,0.668068,0.008538,1.294536,1.294536,5.638952
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,BayesB,single_bayesb_two_step_ls,BayesB,0.740698,0.755895,0.768441,0.012546,1.659701,1.659701,3.745504
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,BayesB,single_bayesb_two_step_ls,RKHS,0.649867,0.654398,0.667798,0.0134,2.047655,1.649004,2.759264
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,BayesB,single_bayesb_two_step_ls,RKHS,0.749616,0.756181,0.770583,0.014403,1.904661,1.534439,2.797122
rice529,grain_length,BayesB,single_bayesb_two_step_ls,BayesB,0.715405,0.741075,0.74623,0.005156,0.695701,0.695701,4.30877
rice529,grain_thickness,BayesB,single_bayesb_two_step_ls,BayesB,0.686103,0.710897,0.713195,0.002298,0.323281,0.323281,3.948755
rice529,grain_weight,BayesB,single_bayesb_two_step_ls,BayesB,0.574106,0.561884,0.58219,0.020306,3.613853,3.613853,1.408095
rice529,grain_width,BayesB,single_bayesb_two_step_ls,BayesB,0.816583,0.836176,0.836718,0.000542,0.064826,0.064826,2.46572
rice529,heading_date,BayesB,single_bayesb_two_step_ls,RKHS,0.738156,0.733462,0.752125,0.018662,2.544433,0.76549,1.892301
rice529,num_effective_panicles,BayesB,single_bayesb_two_step_ls,RKHS,0.639902,0.651539,0.65998,0.008441,1.295489,-0.483595,3.137574
rice529,num_panicles,BayesB,single_bayesb_two_step_ls,RKHS,0.631136,0.652506,0.65691,0.004403,0.674829,-0.964986,4.083665
rice529,plant_height,BayesB,single_bayesb_two_step_ls,GBLUP,0.846374,0.842668,0.852721,0.010053,1.193027,1.190539,0.75001
rice529,spikelet_length,BayesB,single_bayesb_two_step_ls,RKHS,0.6021,0.619146,0.627689,0.008543,1.379755,-0.650982,4.249915
rice529,yield,BayesB,single_bayesb_two_step_ls,RKHS,0.477376,0.515016,0.516736,0.001719,0.333869,-2.995144,8.245
soybean951,bbd_beijing_2013_bbd_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.790683,0.820973,0.821681,0.000709,0.086315,0.086315,3.920393
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.54063,0.601144,0.599268,-0.001876,-0.312029,-1.088517,10.846144
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.769294,0.798682,0.800958,0.002276,0.285013,0.285013,4.115987
soybean951,fac_beijing_2013_fac_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.602365,0.636206,0.64259,0.006384,1.003417,-0.771779,6.677949
soybean951,hsw_beijing_2013_hsw_beijing_2013,BayesB,single_bayesb_two_step_ls,GBLUP,0.740549,0.770398,0.778289,0.007891,1.024211,0.933132,5.096222
soybean951,ll_beijing_2013_ll_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.350777,0.403185,0.411595,0.008409,2.085748,2.085748,17.33791
soybean951,lw_beijing_2013_lw_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.501739,0.547066,0.556149,0.009083,1.660313,1.660313,10.844132
soybean951,md_beijing_2013_md_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.615206,0.668269,0.671336,0.003066,0.45881,-0.23595,9.123673
soybean951,plh_beijing_2013_plh_beijing_2013,BayesB,single_bayesb_two_step_ls,BayesB,0.703289,0.761688,0.7637,0.002012,0.264107,0.264107,8.589764
soybean951,prt_beijing_2013_prt_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.202501,0.285718,0.2901,0.004382,1.533595,-4.07001,43.258196
soybean951,sl_beijing_2013_sl_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.504755,0.543589,0.554687,0.011099,2.041719,-0.13948,9.89249
soybean951,st_beijing_2013_st_beijing_2013,BayesB,single_bayesb_two_step_ls,GBLUP,0.684494,0.732097,0.736474,0.004377,0.597852,0.578218,7.593952
soybean951,vbn_beijing_2013_vbn_beijing_2013,BayesB,single_bayesb_two_step_ls,RKHS,0.75171,0.76508,0.767592,0.002512,0.328281,-0.482431,2.112756
wheat406,ph_e1,BayesB,single_bayesb_two_step_ls,BayesB,0.803503,0.813582,0.82366,0.010078,1.238677,1.238677,2.508623
wheat406,ph_e2,BayesB,single_bayesb_two_step_ls,BayesB,0.76598,0.780137,0.788816,0.008679,1.112519,1.112519,2.981222
wheat406,ph_e3,BayesB,single_bayesb_two_step_ls,BayesB,0.832865,0.848494,0.85557,0.007076,0.833943,0.833943,2.726115
wheat406,pl_e1,BayesB,single_bayesb_two_step_ls,BayesB,0.858148,0.84331,0.864627,0.021317,2.527769,2.527769,0.754939
wheat406,pl_e2,BayesB,single_bayesb_two_step_ls,RKHS,0.718509,0.721379,0.737267,0.015889,2.202574,1.832666,2.610744
wheat406,pl_e3,BayesB,single_bayesb_two_step_ls,BayesB,0.799242,0.812178,0.820316,0.008138,1.002003,1.002003,2.636757
wheat406,sl_e1,BayesB,single_bayesb_two_step_ls,RKHS,0.450977,0.45394,0.476568,0.022627,4.984605,3.690958,5.674576
wheat406,sl_e2,BayesB,single_bayesb_two_step_ls,RKHS,0.370058,0.415868,0.424052,0.008183,1.96781,-2.89998,14.590698
wheat406,sl_e3,BayesB,single_bayesb_two_step_ls,BayesB,0.617136,0.650626,0.660479,0.009853,1.514392,1.514392,7.023233
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,GBLUP,single_gblup_two_step_ls,BayesB,0.632407,0.646072,0.657735,0.011663,1.805293,-0.272168,4.005054
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,GBLUP,single_gblup_two_step_ls,BayesB,0.740698,0.741984,0.758809,0.016825,2.267558,0.385504,2.445164
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,GBLUP,single_gblup_two_step_ls,RKHS,0.649867,0.651366,0.665437,0.014072,2.160344,1.289668,2.396004
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,GBLUP,single_gblup_two_step_ls,RKHS,0.749616,0.75664,0.770862,0.014222,1.879601,1.57112,2.834259
rice529,grain_length,GBLUP,single_gblup_two_step_ls,BayesB,0.715405,0.719696,0.730559,0.010862,1.509298,-1.419019,2.118172
rice529,grain_thickness,GBLUP,single_gblup_two_step_ls,BayesB,0.686103,0.706367,0.709722,0.003355,0.474953,-0.165259,3.44256
rice529,grain_weight,GBLUP,single_gblup_two_step_ls,BayesB,0.574106,0.555355,0.580445,0.025089,4.517704,3.303238,1.104092
rice529,grain_width,GBLUP,single_gblup_two_step_ls,BayesB,0.816583,0.827534,0.829693,0.002159,0.260905,-0.775305,1.605431
rice529,heading_date,GBLUP,single_gblup_two_step_ls,RKHS,0.738156,0.723006,0.747357,0.024352,3.368097,0.12677,1.246439
rice529,num_effective_panicles,GBLUP,single_gblup_two_step_ls,RKHS,0.639902,0.653422,0.65982,0.006398,0.979203,-0.507652,3.112641
rice529,num_panicles,GBLUP,single_gblup_two_step_ls,RKHS,0.631136,0.65335,0.656407,0.003057,0.467881,-1.040816,4.003969
rice529,plant_height,GBLUP,single_gblup_two_step_ls,GBLUP,0.846374,0.842689,0.853553,0.010864,1.289204,1.289204,0.848245
rice529,spikelet_length,GBLUP,single_gblup_two_step_ls,RKHS,0.6021,0.623707,0.631514,0.007807,1.251662,-0.045591,4.88517
rice529,yield,GBLUP,single_gblup_two_step_ls,RKHS,0.477376,0.514765,0.515953,0.001188,0.230831,-3.14202,8.081105
soybean951,bbd_beijing_2013_bbd_beijing_2013,GBLUP,single_gblup_two_step_ls,BayesB,0.790683,0.811029,0.812766,0.001736,0.214107,-0.99966,2.792816
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,GBLUP,single_gblup_two_step_ls,RKHS,0.54063,0.595635,0.594592,-0.001043,-0.175184,-1.860354,9.981177
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,GBLUP,single_gblup_two_step_ls,BayesB,0.769294,0.79813,0.800684,0.002554,0.320005,0.250646,4.080307
soybean951,fac_beijing_2013_fac_beijing_2013,GBLUP,single_gblup_two_step_ls,RKHS,0.602365,0.638905,0.644537,0.005632,0.881514,-0.471193,7.001103
soybean951,hsw_beijing_2013_hsw_beijing_2013,GBLUP,single_gblup_two_step_ls,GBLUP,0.740549,0.771093,0.779915,0.008821,1.144022,1.144022,5.31581
soybean951,ll_beijing_2013_ll_beijing_2013,GBLUP,single_gblup_two_step_ls,BayesB,0.350777,0.401562,0.410752,0.00919,2.28845,1.876745,17.097681
soybean951,lw_beijing_2013_lw_beijing_2013,GBLUP,single_gblup_two_step_ls,BayesB,0.501739,0.525918,0.539927,0.014009,2.663741,-1.304907,7.61104
soybean951,md_beijing_2013_md_beijing_2013,GBLUP,single_gblup_two_step_ls,RKHS,0.615206,0.659799,0.663859,0.00406,0.615298,-1.34701,7.908376
soybean951,plh_beijing_2013_plh_beijing_2013,GBLUP,single_gblup_two_step_ls,BayesB,0.703289,0.742453,0.743779,0.001326,0.17863,-2.351305,5.757175
soybean951,prt_beijing_2013_prt_beijing_2013,GBLUP,single_gblup_two_step_ls,RKHS,0.202501,0.281687,0.288254,0.006567,2.331283,-4.680478,42.346546
soybean951,sl_beijing_2013_sl_beijing_2013,GBLUP,single_gblup_two_step_ls,RKHS,0.504755,0.540454,0.552115,0.011661,2.157619,-0.602587,9.382859
soybean951,st_beijing_2013_st_beijing_2013,GBLUP,single_gblup_two_step_ls,GBLUP,0.684494,0.73224,0.736728,0.004488,0.612927,0.612927,7.631082
soybean951,vbn_beijing_2013_vbn_beijing_2013,GBLUP,single_gblup_two_step_ls,RKHS,0.75171,0.766284,0.768168,0.001884,0.245846,-0.407727,2.189408
wheat406,ph_e1,GBLUP,single_gblup_two_step_ls,BayesB,0.803503,0.806348,0.821145,0.014797,1.835086,0.929594,2.195663
wheat406,ph_e2,GBLUP,single_gblup_two_step_ls,BayesB,0.76598,0.776396,0.784731,0.008335,1.07351,0.58889,2.447916
wheat406,ph_e3,GBLUP,single_gblup_two_step_ls,BayesB,0.832865,0.844701,0.853706,0.009005,1.066049,0.614311,2.502362
wheat406,pl_e1,GBLUP,single_gblup_two_step_ls,BayesB,0.858148,0.829263,0.85969,0.030427,3.66916,1.942397,0.179689
wheat406,pl_e2,GBLUP,single_gblup_two_step_ls,RKHS,0.718509,0.718634,0.737785,0.019151,2.664893,1.904098,2.682721
wheat406,pl_e3,GBLUP,single_gblup_two_step_ls,BayesB,0.799242,0.805239,0.817385,0.012146,1.508386,0.641043,2.269955
wheat406,sl_e1,GBLUP,single_gblup_two_step_ls,RKHS,0.450977,0.448735,0.474285,0.02555,5.693828,3.194328,5.168445
wheat406,sl_e2,GBLUP,single_gblup_two_step_ls,RKHS,0.370058,0.410068,0.419128,0.00906,2.209339,-4.027366,13.260237
wheat406,sl_e3,GBLUP,single_gblup_two_step_ls,BayesB,0.617136,0.634377,0.65128,0.016903,2.664554,0.100516,5.53263
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,RKHS,single_rkhs_two_step_ls,BayesB,0.632407,0.648466,0.656875,0.008409,1.296742,-0.40267,3.868955
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,RKHS,single_rkhs_two_step_ls,BayesB,0.740698,0.749628,0.760008,0.010381,1.384764,0.544123,2.607037
