dataset,trait_slug,triple_two_step_ls,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,strongest_single_name,strongest_single_value,triple_minus_strongest_single_abs,triple_minus_strongest_single_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,0.666748,0.668068,0.657735,0.656875,single_bayesb_two_step_ls,0.668068,-0.00132,-0.197594
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,0.769348,0.768441,0.758809,0.760008,single_bayesb_two_step_ls,0.768441,0.000908,0.118123
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,0.668322,0.667798,0.665437,0.666915,single_bayesb_two_step_ls,0.667798,0.000524,0.078413
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,0.771726,0.770583,0.770862,0.768605,single_gblup_two_step_ls,0.770862,0.000864,0.112092
rice529,grain_length,0.747122,0.74623,0.730559,0.736411,single_bayesb_two_step_ls,0.74623,0.000891,0.119462
rice529,grain_thickness,0.713195,0.713195,0.709722,0.701578,single_bayesb_two_step_ls,0.713195,0.0,0.0
rice529,grain_weight,0.582129,0.58219,0.580445,0.578383,single_bayesb_two_step_ls,0.58219,-6.1e-05,-0.010445
rice529,grain_width,0.836392,0.836718,0.829693,0.824904,single_bayesb_two_step_ls,0.836718,-0.000326,-0.038932
rice529,heading_date,0.749821,0.752125,0.747357,0.752513,single_rkhs_two_step_ls,0.752513,-0.002691,-0.357652
rice529,num_effective_panicles,0.66425,0.65998,0.65982,0.664809,single_rkhs_two_step_ls,0.664809,-0.00056,-0.084182
rice529,num_panicles,0.662867,0.65691,0.656407,0.663332,single_rkhs_two_step_ls,0.663332,-0.000465,-0.070137
rice529,plant_height,0.853461,0.852721,0.853553,0.849366,single_gblup_two_step_ls,0.853553,-9.2e-05,-0.010773
rice529,spikelet_length,0.631994,0.627689,0.631514,0.634756,single_rkhs_two_step_ls,0.634756,-0.002762,-0.435191
rice529,yield,0.531589,0.516736,0.515953,0.531589,single_rkhs_two_step_ls,0.531589,0.0,0.0
soybean951,bbd_beijing_2013_bbd_beijing_2013,0.82154,0.821681,0.812766,0.808652,single_bayesb_two_step_ls,0.821681,-0.000141,-0.017159
soybean951,fa16c_beijing_2013_fa16c_beijing_2013,0.601895,0.599268,0.594592,0.601377,single_rkhs_two_step_ls,0.601377,0.000518,0.086117
soybean951,fa18c_beijing_2013_fa18c_beijing_2013,0.800958,0.800958,0.800684,0.799256,single_bayesb_two_step_ls,0.800958,0.0,0.0
soybean951,fac_beijing_2013_fac_beijing_2013,0.64988,0.64259,0.644537,0.64988,single_rkhs_two_step_ls,0.64988,0.0,0.0
soybean951,hsw_beijing_2013_hsw_beijing_2013,0.780331,0.778289,0.779915,0.775079,single_gblup_two_step_ls,0.779915,0.000416,0.053311
soybean951,ll_beijing_2013_ll_beijing_2013,0.408819,0.411595,0.410752,0.406728,single_bayesb_two_step_ls,0.411595,-0.002775,-0.674241
soybean951,lw_beijing_2013_lw_beijing_2013,0.556149,0.556149,0.539927,0.540122,single_bayesb_two_step_ls,0.556149,0.0,0.0
soybean951,md_beijing_2013_md_beijing_2013,0.671909,0.671336,0.663859,0.669335,single_bayesb_two_step_ls,0.671336,0.000573,0.085389
soybean951,plh_beijing_2013_plh_beijing_2013,0.763781,0.7637,0.743779,0.74237,single_bayesb_two_step_ls,0.7637,8.1e-05,0.010634
soybean951,prt_beijing_2013_prt_beijing_2013,0.300138,0.2901,0.288254,0.303006,single_rkhs_two_step_ls,0.303006,-0.002869,-0.946712
soybean951,sl_beijing_2013_sl_beijing_2013,0.557823,0.554687,0.552115,0.556605,single_rkhs_two_step_ls,0.556605,0.001218,0.218884
soybean951,st_beijing_2013_st_beijing_2013,0.736408,0.736474,0.736728,0.730572,single_gblup_two_step_ls,0.736728,-0.00032,-0.043438
soybean951,vbn_beijing_2013_vbn_beijing_2013,0.770089,0.767592,0.768168,0.770076,single_rkhs_two_step_ls,0.770076,1.3e-05,0.001679
wheat406,ph_e1,0.822477,0.82366,0.821145,0.819569,single_bayesb_two_step_ls,0.82366,-0.001183,-0.143618
wheat406,ph_e2,0.788847,0.788816,0.784731,0.7835,single_bayesb_two_step_ls,0.788816,3.1e-05,0.003903
wheat406,ph_e3,0.854149,0.85557,0.853706,0.848614,single_bayesb_two_step_ls,0.85557,-0.00142,-0.166014
wheat406,pl_e1,0.863284,0.864627,0.85969,0.863326,single_bayesb_two_step_ls,0.864627,-0.001343,-0.155328
wheat406,pl_e2,0.737992,0.737267,0.737785,0.735496,single_gblup_two_step_ls,0.737785,0.000208,0.028135
wheat406,pl_e3,0.820289,0.820316,0.817385,0.816094,single_bayesb_two_step_ls,0.820316,-2.7e-05,-0.003342
wheat406,sl_e1,0.477206,0.476568,0.474285,0.476635,single_rkhs_two_step_ls,0.476635,0.000572,0.119953
wheat406,sl_e2,0.438148,0.424052,0.419128,0.438148,single_rkhs_two_step_ls,0.438148,0.0,0.0
wheat406,sl_e3,0.658056,0.660479,0.65128,0.651008,single_bayesb_two_step_ls,0.660479,-0.002423,-0.366829
