dataset,trait_slug,best_baseline_name,best_baseline,no_prior_tabicl,BayesB,GBLUP,RKHS,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,triple_vs_BayesB_pct,triple_vs_GBLUP_pct,triple_vs_RKHS_pct,triple_vs_best_baseline_pct,triple_vs_no_prior_tabicl_pct,triple_vs_single_bayesb_two_step_ls_pct,triple_vs_single_gblup_two_step_ls_pct,triple_vs_single_rkhs_two_step_ls_pct
cotton1245,cotton_fibelo_17_18_cotton_fibelo_17_18,BayesB,0.65953,0.632407,0.65953,0.646072,0.648466,0.668068,0.657735,0.656875,0.666748,1.094384,3.200312,2.819339,1.094384,5.430215,-0.197594,1.370281,1.503106
cotton1245,cotton_fiblen_17_18_cotton_fiblen_17_18,BayesB,0.755895,0.740698,0.755895,0.741984,0.749628,0.768441,0.758809,0.760008,0.769348,1.779784,3.687979,2.630756,1.779784,3.868052,0.118123,1.388926,1.228974
cotton1245,cotton_fibmic_17_18_cotton_fibmic_17_18,RKHS,0.656965,0.649867,0.654398,0.651366,0.656965,0.667798,0.665437,0.666915,0.668322,2.127673,2.603159,1.72871,1.72871,2.83984,0.078413,0.433451,0.210999
cotton1245,cotton_fibstr_17_18_cotton_fibstr_17_18,RKHS,0.758938,0.749616,0.756181,0.75664,0.758938,0.770583,0.770862,0.768605,0.771726,2.055744,1.9938,1.684973,1.684973,2.949527,0.148259,0.112092,0.406034
rice529,grain_length,BayesB,0.741075,0.715405,0.741075,0.719696,0.734177,0.74623,0.730559,0.736411,0.747122,0.815994,3.810701,1.763216,0.815994,4.433379,0.119462,2.267184,1.454401
rice529,grain_thickness,BayesB,0.710897,0.686103,0.710897,0.706367,0.696354,0.713195,0.709722,0.701578,0.713195,0.323281,0.966626,2.418545,0.323281,3.948755,0.0,0.489349,1.655858
rice529,grain_weight,BayesB,0.561884,0.574106,0.561884,0.555355,0.55635,0.58219,0.580445,0.578383,0.582129,3.603031,4.821021,4.633553,3.603031,1.397503,-0.010445,0.290207,0.647634
rice529,grain_width,BayesB,0.836176,0.816583,0.836176,0.827534,0.823159,0.836718,0.829693,0.824904,0.836392,0.025869,1.070445,1.607645,0.025869,2.425828,-0.038932,0.807434,1.392692
rice529,heading_date,RKHS,0.746411,0.738156,0.733462,0.723006,0.746411,0.752125,0.747357,0.752513,0.749821,2.230411,3.70893,0.456915,0.456915,1.580276,-0.30623,0.329727,-0.357652
rice529,num_effective_panicles,RKHS,0.663187,0.639902,0.651539,0.653422,0.663187,0.65998,0.65982,0.664809,0.66425,1.950899,1.657142,0.160304,0.160304,3.804902,0.647027,0.671364,-0.084182
rice529,num_panicles,RKHS,0.663311,0.631136,0.652506,0.65335,0.663311,0.65691,0.656407,0.663332,0.662867,1.587841,1.4567,-0.066846,-0.066846,5.027591,0.906892,0.984214,-0.070137
rice529,plant_height,GBLUP,0.842689,0.846374,0.842668,0.842689,0.838568,0.852721,0.853553,0.849366,0.853461,1.280783,1.278292,1.775994,1.278292,0.837381,0.086721,-0.010773,0.482138
rice529,spikelet_length,RKHS,0.631802,0.6021,0.619146,0.623707,0.631802,0.627689,0.631514,0.634756,0.631994,2.075043,1.328617,0.030378,0.030378,4.964887,0.685825,0.076004,-0.435191
